Material,Value,Spell,Consumed?,Source,Pg.,Lvl.,Notes,School,Artificer,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard
Gem-Encrusted Bowl,"1,000 gp",Heroes' Feast,Y,PHB,250,6,,Conjuration,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Gem, as powder",10 gp (suggested),Wall of Force,(DM's Discretion),PHB,285,5,Gemstone must be clear,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Gems, as powder","5,000 gp",Sequester,Y,PHB,274,7,"Diamond, Emerald, Ruby, and Sapphire",Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Giant Slug Bile,250 gp (suggested),Vitriolic Sphere,(DM's Discretion),EEPC,22,4,"Very specifically bile, as opposed to saliva, venom, or whatever else. As slugs do not have livers, presumably this is harvested from the animal's hepatopancreas.
Also available in PotA pg. 241, XGtE pg. 170",Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Glass Eye,100 gp,Clairvoyance (Seeing),N,PHB,222,3,,Divination,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Glass or Crystal Bead,0.10 gp (1 sp) (suggested),Globe of Invulnerability,Y,PHB,245,6,The bead shatters when the spell ends.,Abjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Glass Sliver,-,Cloud of Daggers,N,PHB,222,2,,Conjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Glowworm,1 gp (suggested),Dancing Lights,N,PHB,230,0,,Evocation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Gold dust,25 gp,Arcane Lock,Y,PHB,215,2,,Abjuration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Golden Wire,2 gp per foot (suggested),Levitate,N,PHB,255,2,,Transmutation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Granite,0.50 gp (5 sp) (suggested),Wall of Stone,N,PHB,287,5,,Evocation,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Grasshopper's Hind Leg,0.10 gp (1 sp) (suggested),Jump,N,PHB,254,1,,Abjuration,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Graveyard Dirt (just a pinch),3 gp (suggested),Feign Death,N,PHB,240,3,,Necromancy,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Green Plant,0.10 gp (1 sp) (suggested),Hallucinatory Terrain,N,PHB,249,4,,Illusion,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Guano,0.10 gp (1 sp) per ounce (suggested),Delayed Blast Fireball,N,PHB,230,7,The components for this spell are materials one could use to create a minor explosive.,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Guano,0.10 gp (1 sp) per ounce (suggested),Fireball,N,PHB,241,3,The components for this spell are materials one could use to create a minor explosive.,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Gum Arabic,0.50 gp (5sp) (suggested),True Polymorph,N,PHB,266,9,,Transmutation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Gum Arabic Hemisphere,1 gp (suggested),Otiluke's Resilient Sphere,N,PHB,264,4,,Evocation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Hand Mirror,15 gp (suggested),Wall of Light,N,XGtE,170,5,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Hen's Heart,1 gp (suggested),Fear,N,PHB,239,3,"Makes your target chicken. Thanks, Richard Ward!",Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"Herbs, Oils, and Incense mixture","1,000 gp",Hallow,Y,PHB,249,5,,Evocation,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Holly Berry,0.10 gp (1 sp) (suggested),Conjure Woodland Beings,N,PHB,226,4,One per being conjured,Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Holy Symbol,0.10 gp (1 sp) (suggested),Spirit Guardians,N,PHB,278,3,,Conjuration,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Holy Symbol,5 gp,Temple of the Gods,N,XGtE,167,7,,Conjuration,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Holy Symbol,0.10 gp (1 sp) (suggested),Word of Radiance,N,XGtE,171,0,,Evocation,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Holy Water,1 gp (suggested),Dispel Evil,(DM's Discretion),PHB,233,5,,Abjuration,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Holy/Unholy Water,1 gp (suggested),Bless,(DM's Discretion),PHB,219,1,,Enchantment,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Holy/Unholy Water,1 gp (suggested),Commune,(DM's Discretion),PHB,223,5,,Divination,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Holy/Unholy Water,1 gp (suggested),Forbiddance,(DM's Discretion),PHB,243,6,,Abjuration,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Holy/Unholy Water,1 gp (suggested),Magic Circle,(DM's Discretion),PHB,256,3,,Abjuration,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Holy/Unholy Water,1 gp (suggested),Protection from Evil/Good,(DM's Discretion),PHB,270,1,,Abjuration,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Holy/Unholy Water,1 gp (suggested),Regenerate,(DM's Discretion),PHB,271,7,,Transmutation,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Holy/Unholy Water,1 gp (suggested),True Resurrection,(DM's Discretion),PHB,284,9,,Necromancy,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Holy/Unholy Water,1 gp (suggested),Wind Walk,(DM's Discretion),PHB,288,6,,Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Honey drop,0.10 gp (1 sp) per ounce (suggested),Antipathy (Sympathy),(DM's Discretion),PHB,214,8,,Enchantment,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Honeycomb,1 gp (suggested),Magic Mouth,Y,PHB,257,2,,Illusion,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Honeycomb,1 gp (suggested),Mass Suggestion,Y,PHB,258,6,"""Honeyed Words,"" ""Sweet-Talk,"" etc. Thanks, Richard Ward!",Enchantment,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Honeycomb,1 gp (suggested),Suggestion,Y,PHB,279,2,"""You catch more flies with honey, after all."" Thanks, Grant Drain!",Enchantment,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Hot Pepper,0.10 gp (1 sp) (suggested),Dragon's Breath,(DM's Discretion),XGtE,154,2,lol,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Ice,-,Ice Knife (or as Water),N,EEPC,18,1,"Also available in PotA pg. 237, XGtE pg. 157",Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Ice,-,"Snilloc's Snowball Swarm(or as Rock Chip, white)",N,EEPC,21,2,Also available in XGtE pg. 165,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Incense,100 gp (suggested),Commune,Y,PHB,223,5,,Divination,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Incense,100 gp (suggested),Conjure Elemental (Air),Y,PHB,225,5,,Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Incense,400 gp (suggested),Control Weather,Y,PHB,228,8,,Transmutation,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Incense,200 gp (suggested),Divination,Y,PHB,234,4,,Divination,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Incense,120 gp (suggested),Forbiddance,Y,PHB,243,6,,Abjuration,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Incense,60 gp (suggested),Glyph of Warding,Y,PHB,245,3,,Abjuration,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Incense,120 gp (suggested),Guards and Wards,Y,PHB,248,6,,Abjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Incense,60 gp (suggested),Hypnotic Pattern,Y,PHB,252,3,,Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Incense,250 gp,Legend Lore,Y,PHB,254,5,"Also requires 4 x Ivory Strips worth 50 gp each, not consumed.",Divination,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Incense,150 gp (suggested),Speak with Dead,Y,PHB,277,3,,Necromancy,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ink,5 gp (suggested),Dream,N,PHB,236,5,,Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Ink, Lead-based",10 gp,Illusory Script,Y,PHB,252,1,,Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Iron,0.02 gp (2 cp) (suggested),Heat Metal,N,PHB,250,2,,Transmutation,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Iron,0.02 gp (2 cp) (suggested),Hold Monster,N,PHB,251,5,,Enchantment,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Iron,0.02 gp (2 cp) (suggested),Hold Person,N,PHB,251,2,,Enchantment,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Iron Blade,2 gp (suggested),Move Earth,N,PHB,263,6,,Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Iron filings or powder,0.02 gp (2 cp) (suggested),Antimagic Field,N,PHB,213,8,,Abjuration,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Iron filings or powder,0.02 gp (2 cp) (suggested),Enlarge/Reduce,N,PHB,237,2,,Transmutation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Iron filings or powder,0.02 gp (2 cp) (suggested),Flaming Sphere,N,PHB,242,2,,Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Iron filings or powder,0.02 gp (2 cp) (suggested),Reverse Gravity,N,PHB,272,7,,Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Ivory Portal (miniature),5 gp,Mordenkainen's Magnificent Mansion,N,PHB,261,7,,Conjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Ivory Strips x 4,50 gp each,Legend Lore,N,PHB,254,5,"Also requires 250 gp worth of incense, consumed.",Divination,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Jacinth,"1,000 gp",Astral Projection,Y,PHB,215,9,,Necromancy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Jade Circlet,"1,500 gp",Shapechange,N,PHB,274,9,Circlet must be placed on head before casting.,Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Jade Dust,10 gp,Magic Mouth,Y,PHB,257,2,,Illusion,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Jade Dust,25 gp,Programmed Illusion,(DM's Discretion),PHB,269,6,,Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Jewel,"1,000 gp",Planar Binding,Y,PHB,265,5,,Abjuration,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Jewel-Encrusted Dagger,"1,000 gp",Create Homunculus,N,XGtE,152,6,"Also requires Clay, Ash, and Mandrake Root. Unlike those components, the dagger is not consumed.",Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Jeweled Horn,100 gp,Clairvoyance (Hearing),N,PHB,222,3,,Divination,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Kernels of Grain,0.02 gp (2 cp) per ounce (suggested),Insect Plague,(DM's Discretion),PHB,254,5,"Grain, food, crops, to attract a plague of locusts. (Thanks, Isaac Harvey!)",Conjuration,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Knotted String,-,Guards and Wards,N,PHB,248,6,,Abjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Lead, a thin sheet",0.06 gp (6 cp) (suggested),Mordenkainen's Private Sanctum,N,PHB,262,4,,Abjuration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Leather Loop,0.50 gp (5 sp) (suggested),Levitate,N,PHB,255,2,So that you can pull yourself up by the bootstraps. (thanks Nate!),Transmutation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"Leather strap, bound around arm or similar appendage",0.50 gp (5 sp) (suggested),Freedom of Movement,N,PHB,244,4,,Abjuration,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Legume Seed,0.10 gp (1 sp) per ounce (suggested),Gust of Wind,N,PHB,248,2,"The material for creating a gust of wind is beans!! (Thanks, Reuben Kendall!)",Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Licorice Root Shaving,0.10 gp (1 sp) per ounce (suggested),Haste,N,PHB,250,3,"Licorice root can be used as a laxative. (Thanks, Sam Mendelsohn!)",Transmutation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Lime,0.10 gp (1 sp) per pound (suggested),Flesh to Stone,N,PHB,243,6,The spell components for this spell are ingredients used to make concrete.,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Lodestone,10 gp (suggested),Disintegrate,N,PHB,233,6,,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Lodestone,10 gp (suggested),Mending,N,PHB,259,0,,Transmutation,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Lodestone,10 gp (suggested),Reverse Gravity,N,PHB,272,7,,Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Magnifying Glass,100 gp,Sunbeam,N,PHB,279,6,"""For burning ants!"" (Thanks, William Orfanakos!)",Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Makeup,1 gp (suggested),Friends,Y,PHB,244,0,Applied to face as spell is cast.,Enchantment,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Mandrake Root,1 gp (suggested),Create Homunculus,Y,XGtE,152,6,"Also requires Ash, Clay, and a jewel-encrusted dagger worth 1,000gp",Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Marked Sticks or Bones,25 gp,Augury,N,PHB,215,2,"Alternatively, tarot cards, tea leaves, or other Divination tool.",Divination,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Melee Weapon,0.10 gp (1 sp),Steel Wind Strike,N,XGtE,166,5,,Conjuration,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Mercury,5 gp per ounce (suggested),Maddening Darkness,N,XGtE,160,8,Also requires a drop of pitch.,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Mercury,5 gp per ounce (suggested),Symbol,N,PHB,280,7,,Abjuration,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Mercury,5 gp per ounce (suggested),Tenser's Floating Disk,N,PHB,282,1,"Richard Ward: ""Near enough anything will float on mercury. Here's an anvil doing so: https://www.youtube.com/watch?v=f5U63IGmy6Q",Conjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Mercury,5 gp per ounce (suggested),True Polymorph,N,PHB,266,9,,Transmutation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Mica chip,-,Shatter,N,PHB,275,2,"Mica is a soft, flaky mineral that can often be found in thin layers. Despite being a rock, it breaks apart easily. (Thanks, Rachael Wright!)",Evocation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Miniature Hand Sculpted from Clay,-,Maximilian's Earthen Grasp,N,EEPC,19,2,"Also available in PotA pg. 238, XGtE pg. 161",Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Mistletoe,0.10 gp (1 sp) (suggested),Druid Grove,Y,XGtE,154,6,This mistletoe must have been harvested with a golden sickle underneath the light of a full moon.,Abjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Mistletoe sprig,0.10 gp (1 sp) (suggested),Goodberry,N,PHB,246,1,,Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Mistletoe sprig,0.10 gp (1 sp) (suggested),Shillelagh,N,PHB,275,0,,Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Molasses (a drop),0.10 gp (1 sp) per ounce (suggested),Slow,(DM's Discretion),PHB,277,3,"Not really relevant, but isn't the Great Molasses Flood a strange event from history???",Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Moonseeds,20 gp (suggested),Moonbeam,N,PHB,261,2,"Technically there is a Moonseed Plant, but it could be something different in your world! Something rare... something to quest for!",Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Niter, Sulfur, and Pine Tar formed into a bead",-,Melf's Minute Meteors,N,EEPC,19,3,"Also available in PotA pg. 238, XGtE pg. 161",Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Nut Shells (3),-,Confusion,N,PHB,224,4,Heh.,Enchantment,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Oak bark,-,Barkskin,N,PHB,217,2,,Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Obsidian,-,Erupting Earth,N,EEPC,16,3,"Also available in PotA 235, XGtE 155",Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Oil,0.10 gp (1 sp) per ounce (suggested),Guards and Wards,N,PHB,248,6,,Abjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Oils and Unguents,"1,000 gp",Reincarnate,Y,PHB,271,5,,Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Ointment for the Eyes,25 gp,True Seeing,Y,PHB,284,6,"The ointment is made of mushroom powder, saffron, and fat.",Divination,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Opaque Glass,0.50 gp (5 sp) (suggested),Mordenkainen's Private Sanctum,N,PHB,262,4,,Abjuration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Paper or Leaf Funnel,-,Maelstrom,N,EEPC,19,5,"Also available in PotA pg. 238, XGtE pg. 160",Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Parchment, as a twisted loop",-,Rope Trick,N,PHB,272,2,"Probably meant to be a Mobius strip. Thanks, 	Christopher DeMichiei!",Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Parchment, with holy word written upon it",-,Shield of Faith,N,PHB,275,1,"Ephesians 6:16 - ""Above all, taking the shield of faith, wherewith ye shall be able to quench all the fiery darts of the wicked."" Thanks, Andrew Schiers!",Abjuration,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Pearl,100 gp,Identify,N,PHB,252,1,,Divination,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Petrified Eye of Newt,15 gp (suggested),Hex,N,PHB,251,1,"We already have ""wool of bat"" in our pouches, too... toe of frog? Tongue of dog?",Enchantment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Phosphorescent Moss,1 gp (suggested),Light,N,PHB,255,0,May use a firefly instead.,Evocation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Phosphorus,1 gp (suggested),Conjure Elemental (Fire),N,PHB,225,5,,Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Phosphorus,1 gp (suggested),Dancing Lights,N,PHB,230,0,,Evocation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Phosphorus,1 gp (suggested),Fire Shield,N,PHB,242,4,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Phosphorus,1 gp (suggested),Symbol,N,PHB,280,7,,Abjuration,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Phosphorus,1 gp (suggested),Wall of Fire,N,PHB,285,4,,Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Pickled Octopus Tentacle,8 gp (suggested),Hunger of Hadar,N,PHB,251,3,,Conjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Pitch, a drop",0.05 gp (5 cp) (suggested),Darkness,(DM's Discretion),PHB,230,2,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"Pitch, a drop",0.05 gp (5 cp) (suggested),Maddening Darkness,(DM's Discretion),XGtE,,,Also requires a drop of Mercury.,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Platinum Rings, two",50 gp each,Warding Bond,N,PHB,287,2,Caster and target must wear the rings for duration,Abjuration,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Platinum Sword, miniature, with grip and pommel of copper and zinc",250 gp,Mordenkainen's Sword,N,PHB,262,7,,Evocation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Polished Marble Stone,5 gp,Mordenkainen's Magnificent Mansion,N,PHB,261,7,,Conjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Pork Rind or other fat,0.02 gp (2 cp) (suggested),Grease,(DM's Discretion),PHB,246,1,,Conjuration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Pork Rind or other fat,0.02 gp (2 cp) (suggested),Insect Plague,(DM's Discretion),PHB,254,5,"Possibly a reference to Lord of the Flies? (Thanks Gus!) Or just how rotten meat attracts flies. (Thanks, Richard Ward!)",Conjuration,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Prayer Wheel,10 gp (suggested),Regenerate,N,PHB,271,7,,Transmutation,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Quartz,0.10 gp (1 sp) (suggested),Wall of Ice,N,PHB,285,6,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Quill plucked from a sleeping bird,50 gp (suggested),Dream,N,PHB,236,5,,Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Quiver, with at least one piece of ammunition",1 gp (suggested),Swift Quiver,N,PHB,279,5,,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Red Dragon's Scale,200 gp (suggested),Aganazzar's Scorcher,N,EEPC,14,2,"Also available in PotA pg. 233, XGtE pg. 150",Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Reed,-,Water Breathing,N,PHB,287,3,May substitute a piece of straw.,Transmutation,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Reliquary containing a Sacred Relic,"1,000 gp",Holy Aura,N,PHB,281,8,,Abjuration,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Rhubarb Leaf, powdered",1 gp (suggested),Melf's Acid Arrow,N,PHB,259,2,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rock Chip, white",0.10 gp (1 sp) (suggested),Snilloc's Snowball Swarm,N,EEPC,21,2,Also available in XGtE pg. 165,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"Rope, 25 feet",-,Snare,Y,XGtE,,,,Abjuration,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Rose petals,0.10 gp (1 sp) per ounce (suggested),Sleep,N,PHB,276,1,,Enchantment,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Rotten Egg,-,Stinking Cloud,(DM's discretion),PHB,278,3,,Conjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Ruby,999 gp,Infernal Calling,N,XGtE,158,5,,Conjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Ruby (as dust),50 gp,Continual Flame,Y,PHB,227,2,,Evocation,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Ruby (as dust),"1,000 gp",Forbiddance,(DM's Discretion),PHB,243,6,"Kibchi Redanlae points out that rubies have historically been associated with protection, quite fitting for abjuration!",Abjuration,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ruby (as dust),"1,500 gp",Forcecage,N,PHB,243,7,,Evocation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
